artists,title,date,accousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness
"""Weird Al"" Yankovic","White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)",2006-10-21,0.0986,0.791,170640,0.613,0.0,0.0765,0.0763
$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",2019-03-09,0.124,0.792,168490,0.511,9.04e-05,0.14,0.0409
'68 Comeback,Peepin' & Hidin' / Baby What You Want Me to Do,1983-03-12,0.0247,0.373,234293,0.691,0.0248,0.212,0.0316
'Til Tuesday,Voices Carry,1985-07-13,0.0282,0.583,263573,0.574,2.14e-06,0.114,0.0239
*NSYNC,(God Must Have Spent) A Little More Time On You - Remix,1999-03-06,0.449,0.375,241493,0.527,0.0,0.305,0.0507
*NSYNC,Bye Bye Bye,2000-05-20,0.031,0.61,200400,0.926,0.0012,0.0821,0.0479
*NSYNC,Girlfriend,2002-05-04,0.0857,0.748,253600,0.809,1.48e-05,0.0282,0.0904
*NSYNC,It's Gonna Be Me,2000-09-02,0.0407,0.636,192427,0.873,1.27e-06,0.0372,0.071
*NSYNC,This I Promise You,2001-01-13,0.354,0.55,284760,0.587,0.0,0.128,0.0329
10cc,I'm Not In Love,1975-08-09,0.685,0.404,366640,0.523,0.000498,0.282,0.0575
10cc,The Things We Do For Love,1977-04-23,0.163,0.637,207573,0.528,0.0,0.122,0.0394
112,It's Over Now,2001-03-24,0.0106,0.66,264933,0.71,7.01e-06,0.0736,0.0409
112,Peaches & Cream,2001-08-04,0.00277,0.677,193093,0.52,0.0,0.0532,0.334
1910 Fruitgum Company,Indian Giver - Remastered,1969-03-29,0.726,0.748,162187,0.543,0.000293,0.0964,0.0704
1910 Fruitgum Company,Simon Says,1968-03-30,0.411,0.8,138933,0.632,0.00279,0.115,0.0387
"21 Savage, Metro Boomin",Glock In My Lap,2005-01-29,0.00574,0.847,193591,0.733,1.04e-05,0.151,0.16
"21 Savage, Metro Boomin",Runnin,2020-10-17,0.00748,0.819,195906,0.626,0.101,0.167,0.202
"21 Savage, Metro Boomin, Drake",Mr. Right Now (feat. Drake),2020-10-17,0.231,0.647,193839,0.667,0.0,0.133,0.304
"24kGoldn, iann dior",Mood (feat. iann dior),2021-04-10,0.174,0.701,140533,0.716,0.0,0.324,0.0361
2Pac,Dear Mama,1995-05-20,0.371,0.773,280000,0.54,0.0,0.131,0.103
"2Pac, K-Ci & JoJo",How Do U Want It (ft. K-Ci & JoJo),1996-10-05,0.033,0.762,287547,0.838,0.0,0.0623,0.0963
3 Doors Down,Here Without You,2004-02-14,0.0492,0.557,238733,0.533,0.0,0.205,0.0252
3 Doors Down,Kryptonite,2000-12-30,0.00664,0.545,233933,0.865,1.1e-05,0.168,0.0286
3 Doors Down,When I'm Gone,2003-06-07,0.00385,0.53,260333,0.768,0.0,0.103,0.0284
38 Special,Caught Up In You,1982-07-17,0.0229,0.425,279333,0.681,0.000219,0.0543,0.0316
"3OH!3, Kesha",My First Kiss (feat. Ke$ha),2010-05-22,0.00564,0.682,192440,0.889,0.0,0.36,0.0804
5 Seconds of Summer,Youngblood,2018-11-10,0.0169,0.596,203418,0.854,0.0,0.124,0.463
50 Cent,Disco Inferno,2005-04-30,0.206,0.925,214227,0.659,7.88e-05,0.279,0.231
50 Cent,In Da Club,2003-06-07,0.26,0.902,193467,0.72,0.0,0.0749,0.347
50 Cent,Just A Lil Bit,2005-07-30,0.0322,0.489,237707,0.692,0.00608,0.315,0.41
50 Cent,P.I.M.P.,2003-10-18,0.0444,0.7,249467,0.758,1.3e-05,0.0401,0.342
"50 Cent, Justin Timberlake, Timbaland",Ayo Technology,2007-10-06,0.0828,0.63,247947,0.782,0.0,0.034,0.132
"50 Cent, Mobb Deep",Outta Control - Remix,2005-10-01,0.0268,0.77,247973,0.587,0.0,0.0621,0.265
"50 Cent, Nate Dogg",21 Questions,2003-07-12,0.353,0.576,224427,0.807,0.000363,0.0512,0.317
"50 Cent, Olivia",Candy Shop,2005-05-21,0.0253,0.614,209107,0.574,3.2e-05,0.38,0.466
69 Boyz,Tootsee Roll (Dance Version),1995-01-14,0.0453,0.869,261360,0.725,0.0,0.203,0.256
6ix9ine,GOOBA,2020-05-23,0.0264,0.611,132303,0.688,0.0,0.251,0.341
"6ix9ine, Nicki Minaj",TROLLZ (with Nicki Minaj),2020-06-27,0.0319,0.744,202667,0.422,0.00011,0.11,0.294
"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,2018-10-20,0.088,0.931,179405,0.387,0.0,0.136,0.412
702,Get It Together,1997-03-22,0.625,0.791,291400,0.186,2.67e-06,0.0574,0.0333
702,Where My Girls At,1999-09-25,0.0352,0.705,166693,0.725,0.0149,0.194,0.0506
98º,Because Of You,1999-01-16,0.302,0.731,296040,0.595,0.0,0.107,0.0271
98º,Give Me Just One Night (Una Noche),2000-10-28,0.0513,0.543,205160,0.79,3.55e-06,0.0981,0.0491
98º,The Hardest Thing,1999-07-10,0.182,0.721,274600,0.498,0.0,0.0769,0.0274
? & The Mysterians,96 Tears,1966-11-19,0.0624,0.65,176867,0.562,3.21e-05,0.076,0.0345
A Flock Of Seagulls,I Ran (So Far Away) - Single Edit,1982-10-30,0.000205,0.51,221799,0.771,0.831,0.135,0.0341
"A Great Big World, Christina Aguilera",Say Something,2014-03-15,0.857,0.407,229400,0.147,2.89e-06,0.0913,0.0355
A Nice Vibe,Music of My Heart (Karaoke Version) - Originally Performed By N Sync & Gloria Estefan,1999-10-30,0.752,0.671,261975,0.292,0.00553,0.179,0.0288
A Taste Of Honey,Boogie Oogie Oogie - Remastered 2004,1978-10-28,0.133,0.791,338320,0.569,0.00035,0.139,0.0553
A Taste Of Honey,Sukiyaki - Remastered,1981-06-27,0.85,0.552,225067,0.387,1.65e-05,0.113,0.031
"A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2013-02-16,0.0239,0.853,233787,0.693,0.0,0.11,0.275
ABBA,Dancing Queen,1977-04-16,0.358,0.543,230400,0.87,0.000939,0.792,0.0428
ABBA,Take A Chance On Me,1978-07-22,0.163,0.684,243933,0.675,0.0,0.242,0.0257
ABBA,The Winner Takes It All,1981-03-21,0.574,0.454,294720,0.788,0.000766,0.0859,0.0371
ABBA,Waterloo,1974-08-24,0.395,0.445,168960,0.949,8.18e-06,0.0902,0.0471
ABC,Be Near Me,1985-11-16,0.128,0.719,219827,0.589,0.1,0.13,0.0302
ABC,When Smokey Sings,1987-10-03,0.0505,0.732,259293,0.765,0.0798,0.169,0.0287
AJR,Bang!,2021-02-06,0.0183,0.74,170858,0.517,0.0,0.0558,0.0506
Aaliyah,At Your Best (You Are Love),1994-11-05,0.761,0.626,291400,0.441,0.0138,0.0685,0.0308
Aaliyah,Back & Forth,1994-08-13,0.0698,0.706,231093,0.727,5.31e-06,0.115,0.0317
Aaliyah,Miss You,2003-04-26,0.655,0.678,245227,0.338,0.0,0.215,0.0319
Aaliyah,The One I Gave My Heart To,1997-11-22,0.399,0.702,270933,0.493,0.0,0.112,0.041
Aaliyah,Try Again,2000-08-26,0.0789,0.794,284640,0.662,0.0,0.0937,0.249
Aaron Neville,Everybody Plays The Fool,1991-10-19,0.224,0.789,266107,0.352,0.00147,0.0536,0.143
Aaron Neville,Tell It Like It Is,1967-02-18,0.465,0.542,164560,0.461,0.0,0.177,0.0286
Ace,How Long,1975-06-07,0.587,0.717,204227,0.406,0.103,0.0869,0.0305
Ace of Base,All That She Wants,1994-02-12,0.00547,0.798,211213,0.625,7.98e-05,0.103,0.0548
Ace of Base,Cruel Summer,1998-08-29,0.0129,0.721,215360,0.842,0.00206,0.0734,0.0278
Ace of Base,The Sign,1994-06-25,0.00928,0.808,191240,0.786,0.0701,0.0574,0.0447
Adam Lambert,Whataya Want from Me,2010-05-01,0.00706,0.44,227320,0.683,0.0,0.0593,0.0489
Adam Wade,As If I Didn't Know,1961-09-11,0.485,0.653,180800,0.208,0.0454,0.487,0.0298
Adam Wade,Take Good Care Of Her,1961-05-15,0.676,0.539,150467,0.212,0.000549,0.157,0.0295
Adam Wade,The Writing On The Wall,1961-07-10,0.543,0.738,150240,0.283,0.000258,0.0733,0.041
Adele,Easy On Me,2021-11-06,0.578,0.604,224695,0.366,0.0,0.133,0.0282
Adele,Hello,2016-03-12,0.33,0.578,295502,0.43,0.0,0.0854,0.0305
Adele,Rolling in the Deep,2012-03-03,0.138,0.73,228093,0.769,0.0,0.0473,0.0298
Adele,Send My Love (To Your New Lover),2016-10-01,0.0355,0.688,223079,0.533,3.48e-06,0.172,0.0865
Adele,Set Fire to the Rain,2012-04-07,0.00408,0.603,242974,0.67,1.68e-06,0.112,0.0249
Adele,Skyfall,2012-10-20,0.417,0.346,286480,0.552,0.0,0.114,0.0282
